Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
1.275000e+01	5.107818e-01	0	2.445086e+02	2.552860e+02	
1.280000e+01	4.650353e-01	0	2.710656e+02	2.356325e+02	
1.285000e+01	4.390719e-01	0	2.724083e+02	2.132302e+02	
1.290000e+01	4.292209e-01	0	2.866025e+02	2.155226e+02	
1.295000e+01	6.385032e-01	0	1.780440e+02	3.144749e+02	
13	8.049057e-01	0	9.600993e+01	3.961107e+02	
1.305000e+01	8.001868e-01	0	9.788910e+01	3.920139e+02	
1.310000e+01	8.404284e-01	0	7.514458e+01	3.957700e+02	
1.315000e+01	7.314723e-01	0	1.240174e+02	3.378248e+02	
1.320000e+01	4.823780e-01	0	2.593184e+02	2.416619e+02	
1.325000e+01	4.410684e-01	0	2.738474e+02	2.161006e+02	
1.330000e+01	4.494223e-01	0	2.657754e+02	2.169455e+02	
1.335000e+01	5.102440e-01	0	2.728457e+02	2.842597e+02	
1.340000e+01	4.798978e-01	0	2.584320e+02	2.384549e+02	
1.345000e+01	2.655447e-01	0	3.879701e+02	1.402718e+02	
1.350000e+01	2.130620e-01	0	3.733840e+02	1.010930e+02	
1.355000e+01	1.942941e-01	0	4.359741e+02	1.051342e+02	
1.360000e+01	2.234658e-01	0	4.023761e+02	1.157931e+02	
1.365000e+01	2.242118e-01	0	3.884911e+02	1.122785e+02	
1.370000e+01	2.314166e-01	0	3.795013e+02	1.142659e+02	
1.375000e+01	1.854388e-01	0	3.895331e+02	8.867909e+01	
1.380000e+01	2.020471e-01	0	3.925886e+02	9.940611e+01	
1.385000e+01	2.238294e-01	0	4.138051e+02	1.193317e+02	
1.390000e+01	1.796551e-01	0	3.856346e+02	8.445375e+01	
1.395000e+01	2.031452e-01	0	4.071540e+02	1.037973e+02	
14	1.400247e-01	0	4.253731e+02	6.926099e+01	
1.405000e+01	2.405674e-01	0	3.905012e+02	1.237001e+02	
1.410000e+01	2.129193e-01	0	3.645750e+02	9.862401e+01	
1.415000e+01	4.770775e-01	0	2.379683e+02	2.171054e+02	
1.420000e+01	4.462487e-01	0	2.638627e+02	2.126377e+02	
1.425000e+01	4.316292e-01	0	3.078189e+02	2.337622e+02	
1.430000e+01	4.337560e-01	0	3.042740e+02	2.330809e+02	
1.435000e+01	2.087912e-01	0	4.011020e+02	1.058463e+02	
1.440000e+01	2.292869e-01	0	3.567651e+02	1.061375e+02	
1.445000e+01	2.142208e-01	0	3.879782e+02	1.057715e+02	
1.450000e+01	2.041691e-01	0	3.872557e+02	9.934981e+01	
1.455000e+01	2.044157e-01	0	4.226090e+02	1.085842e+02	
1.460000e+01	2.095983e-01	0	3.755842e+02	9.959721e+01	
1.465000e+01	2.011509e-01	0	3.914266e+02	9.856153e+01	
1.470000e+01	1.801647e-01	0	4.279230e+02	9.403915e+01	
1.475000e+01	2.246902e-01	0	3.913833e+02	1.134256e+02	
1.480000e+01	1.853548e-01	0	3.763880e+02	8.563894e+01	
1.485000e+01	1.902467e-01	0	4.198424e+02	9.863947e+01	
1.490000e+01	2.235375e-01	0	3.768229e+02	1.084844e+02	
1.495000e+01	2.444258e-01	0	4.134126e+02	1.337376e+02	
15	1.688837e-01	0	4.266818e+02	8.670221e+01	
1.505000e+01	1.968206e-01	0	4.003665e+02	9.811053e+01	
1.510000e+01	2.333305e-01	0	4.354770e+02	1.325344e+02	
1.515000e+01	1.995351e-01	0	3.943520e+02	9.830171e+01	
1.520000e+01	1.978627e-01	0	4.135510e+02	1.020104e+02	
1.525000e+01	1.846242e-01	0	4.147504e+02	9.391127e+01	
1.530000e+01	2.447480e-01	0	3.963752e+02	1.284499e+02	
1.535000e+01	1.908809e-01	0	4.113829e+02	9.705013e+01	
1.540000e+01	1.864735e-01	0	3.634281e+02	8.330360e+01	
1.545000e+01	2.200735e-01	0	3.845037e+02	1.084962e+02	
1.550000e+01	1.635377e-01	0	3.900952e+02	7.626796e+01	
1.555000e+01	1.727341e-01	0	3.816620e+02	7.969145e+01	
1.560000e+01	1.902908e-01	0	4.364408e+02	1.025685e+02	
1.565000e+01	1.660537e-01	0	3.976900e+02	7.918720e+01	
1.570000e+01	2.036705e-01	0	4.101032e+02	1.048887e+02	
1.575000e+01	2.295288e-01	0	3.741207e+02	1.114532e+02	
1.580000e+01	1.301978e-01	0	4.210514e+02	6.302579e+01	
1.585000e+01	2.411149e-01	0	3.868290e+02	1.229043e+02	
1.590000e+01	1.665830e-01	0	4.199736e+02	8.394413e+01	
1.595000e+01	2.107584e-01	0	3.765282e+02	1.005478e+02	
16	1.944769e-01	0	4.148536e+02	1.001578e+02	
1.605000e+01	2.502409e-01	0	3.894805e+02	1.299937e+02	
1.610000e+01	3.629096e-01	0	3.377062e+02	1.923696e+02	
1.615000e+01	4.182511e-01	0	2.651306e+02	1.906169e+02	
1.620000e+01	4.729699e-01	0	2.522549e+02	2.263799e+02	
1.625000e+01	1.854655e-01	0	4.080630e+02	9.291393e+01	
1.630000e+01	2.293628e-01	0	3.717099e+02	1.106311e+02	
1.635000e+01	2.229166e-01	0	3.723752e+02	1.068207e+02	
1.640000e+01	2.344867e-01	0	3.972755e+02	1.216907e+02	
1.645000e+01	2.197459e-01	0	3.974327e+02	1.119305e+02	
1.650000e+01	2.301922e-01	0	3.899155e+02	1.165947e+02	
1.655000e+01	2.180137e-01	0	4.070373e+02	1.134799e+02	
1.660000e+01	2.015622e-01	0	4.200591e+02	1.060421e+02	
1.665000e+01	1.416261e-01	0	4.455578e+02	7.351411e+01	
1.670000e+01	1.613322e-01	0	4.191284e+02	8.062658e+01	
1.675000e+01	2.090627e-01	0	4.154141e+02	1.098034e+02	
1.680000e+01	1.952309e-01	0	3.728774e+02	9.045728e+01	
1.685000e+01	2.793028e-01	0	3.465252e+02	1.342942e+02	
1.690000e+01	2.246676e-01	0	4.058756e+02	1.176103e+02	
1.695000e+01	3.605187e-01	0	3.034991e+02	1.711029e+02	
17	4.424883e-01	0	2.841599e+02	2.255333e+02	
1.705000e+01	4.577200e-01	0	2.579020e+02	2.176862e+02	
1.710000e+01	4.526108e-01	0	2.800783e+02	2.315838e+02	
1.715000e+01	4.305600e-01	0	3.163467e+02	2.391933e+02	
1.720000e+01	2.215889e-01	0	4.218733e+02	1.200939e+02	
1.725000e+01	1.886689e-01	0	4.100034e+02	9.534319e+01	
1.730000e+01	2.166397e-01	0	4.038240e+02	1.116782e+02	
1.735000e+01	1.664433e-01	0	3.803547e+02	7.594863e+01	
1.740000e+01	1.978101e-01	0	3.905659e+02	9.630872e+01	
1.745000e+01	2.527937e-01	0	3.485008e+02	1.179043e+02	
1.750000e+01	5.343855e-01	0	2.333970e+02	2.678696e+02	
1.755000e+01	8.087428e-01	0	9.044384e+01	3.824473e+02	
1.760000e+01	7.921758e-01	0	1.066469e+02	4.065124e+02	
1.765000e+01	7.881234e-01	0	1.106513e+02	4.115929e+02	
1.770000e+01	7.864024e-01	0	1.213413e+02	4.467425e+02	
1.775000e+01	7.889136e-01	0	1.064806e+02	3.979602e+02	
1.780000e+01	7.973526e-01	0	9.800130e+01	3.856036e+02	
1.785000e+01	7.939529e-01	0	9.501998e+01	3.661367e+02	
1.790000e+01	8.209981e-01	0	9.190751e+01	4.215367e+02	
1.795000e+01	8.306983e-01	0	8.292199e+01	4.068661e+02	
18	8.165224e-01	0	9.504912e+01	4.229931e+02	
1.805000e+01	8.240289e-01	0	9.303577e+01	4.356635e+02	
1.810000e+01	7.554287e-01	0	1.246122e+02	3.849005e+02	
1.815000e+01	7.898719e-01	0	1.011950e+02	3.803924e+02	
1.820000e+01	8.512086e-01	0	7.358215e+01	4.209502e+02	
1.825000e+01	7.868082e-01	0	1.085829e+02	4.007375e+02	
