Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
1.355000e+01	0	0	6.855589e+00	-1.025042e+01	
1.360000e+01	0	0	-2.691966e+01	2.176505e+01	
1.365000e+01	0	0	1.216027e+01	-2.199170e+01	
1.370000e+01	0	0	-4.778123e+00	-4.462758e+00	
1.375000e+01	0	0	-2.466976e+00	-2.183674e+01	
1.380000e+01	0	0	-2.431610e+00	1.993814e+00	
1.385000e+01	0	0	1.590956e+01	1.671618e+01	
1.390000e+01	0	0	2.496981e+00	-2.029634e+00	
1.395000e+01	0	0	-2.377422e+01	-1.528221e+01	
14	0	0	-3.677430e+00	3.169986e+01	
1.405000e+01	0	0	9.401799e+00	7.659939e+00	
1.410000e+01	0	0	4.297195e+00	-6.851084e+00	
1.415000e+01	0	0	2.063099e+00	1.371081e+01	
1.420000e+01	0	0	2.966214e+00	1.619775e+00	
1.425000e+01	0	0	-2.343509e+01	9.304811e+00	
1.430000e+01	0	0	9.900692e+00	1.992316e+01	
1.435000e+01	0	0	-1.605095e+01	-7.806886e+00	
1.440000e+01	0	0	-9.269057e+00	1.816671e+01	
1.445000e+01	0	0	-7.637701e+00	1.843466e+00	
1.450000e+01	0	0	-6.279917e+00	-1.338905e+00	
1.455000e+01	0	0	2.244910e+01	-1.082851e+01	
1.460000e+01	0	0	-7.695038e-01	-1.584335e+01	
1.465000e+01	0	0	-2.135104e+01	2.325278e+00	
1.470000e+01	0	0	6.835727e+00	-3.354046e+00	
1.475000e+01	0	0	-2.358646e+00	-4.977675e+00	
1.480000e+01	0	0	1.296035e+00	2.917430e-02	
1.485000e+01	0	0	-5.660916e+00	-3.405819e+00	
1.490000e+01	0	0	-1.519217e+01	1.942892e+01	
1.495000e+01	0	0	1.569441e+01	-9.155664e+00	
15	0	0	-1.188221e+01	2.998903e+00	
1.505000e+01	0	0	1.042873e+01	-3.880729e+00	
1.510000e+01	0	0	2.540171e+01	-2.394756e+01	
1.515000e+01	0	0	2.724359e+01	7.846316e+00	
1.520000e+01	0	0	-6.043851e+00	-3.073902e+00	
1.525000e+01	0	0	3.321916e+00	7.587950e+00	
1.530000e+01	0	0	3.041696e+01	-9.728969e+00	
1.535000e+01	0	0	-1.631965e+00	-1.341355e+01	
1.540000e+01	0	0	-2.707887e+00	-1.850838e+01	
1.545000e+01	0	0	1.105697e+01	-1.333880e+01	
1.550000e+01	0	0	1.076045e+01	-1.483725e+01	
1.555000e+01	0	0	1.371611e+01	2.552659e+00	
1.560000e+01	0	0	1.088832e+00	2.220784e+00	
1.565000e+01	0	0	6.454294e+00	1.412069e+01	
1.570000e+01	0	0	3.551516e+00	-1.148065e+01	
1.575000e+01	0	0	4.768413e+00	-2.304675e+00	
1.580000e+01	0	0	-6.252120e+00	-7.335447e-01	
1.585000e+01	0	0	1.446981e+01	1.678346e+01	
1.590000e+01	0	0	2.373881e+01	1.206514e+01	
1.595000e+01	0	0	1.808762e+01	8.226127e+00	
16	0	0	-1.130875e+01	-7.485422e+00	
1.605000e+01	0	0	-7.429482e+00	1.764765e+01	
1.610000e+01	0	0	-1.204093e+01	9.907376e+00	
1.615000e+01	0	0	1.234300e+01	5.639049e-01	
1.620000e+01	0	0	-9.756596e-01	-2.672581e+01	
1.625000e+01	0	0	1.621168e+01	3.375643e+00	
1.630000e+01	0	0	-2.537717e+01	-2.933777e+01	
1.635000e+01	0	0	1.681274e+01	1.761388e+01	
1.640000e+01	0	0	1.191500e+01	1.086050e+01	
1.645000e+01	0	0	-3.959298e+00	-5.245568e-01	
1.650000e+01	0	0	-1.648289e+00	1.668955e+01	
1.655000e+01	0	0	6.153515e+00	8.132311e-01	
1.660000e+01	0	0	4.979591e+00	1.244231e+01	
1.665000e+01	0	0	-4.400833e+00	-2.107829e+00	
1.670000e+01	0	0	-1.409818e+01	-1.535176e+01	
1.675000e+01	0	0	-6.638720e+00	-2.377092e+01	
1.680000e+01	0	0	-1.344198e+01	-1.203057e+01	
1.685000e+01	0	0	2.205330e+00	-1.148781e+01	
1.690000e+01	0	0	2.074836e+01	1.550768e+01	
1.695000e+01	0	0	8.212547e+00	-1.862951e+00	
17	0	0	-1.990388e+01	4.517618e+00	
1.705000e+01	0	0	3.366962e+00	4.430121e+00	
1.710000e+01	0	0	1.053081e+01	-2.944440e+00	
1.715000e+01	0	0	1.052272e+01	2.690846e+01	
1.720000e+01	0	0	-5.008723e+00	-7.054669e+00	
1.725000e+01	0	0	-3.558536e-01	9.649836e+00	
1.730000e+01	0	0	2.644128e+00	-9.643497e+00	
1.735000e+01	0	0	2.995891e+00	-2.390450e+01	
1.740000e+01	0	0	-1.081703e+01	-3.181991e+00	
1.745000e+01	0	0	2.757792e+01	2.352298e+01	
1.750000e+01	0	0	1.425899e-01	1.628077e+00	
1.755000e+01	0	0	2.300711e+01	2.365158e+00	
1.760000e+01	0	0	-1.939146e+01	-1.474479e+01	
1.765000e+01	0	0	4.375179e+00	-1.290523e+01	
1.770000e+01	0	0	1.033450e+01	-8.462481e+00	
1.775000e+01	0	0	-5.664371e+00	1.289890e+01	
1.780000e+01	0	0	-8.384507e+00	3.637885e+00	
1.785000e+01	0	0	8.377541e+00	8.070783e-01	
1.790000e+01	0	0	2.674868e+01	1.013910e+01	
1.795000e+01	0	0	9.867677e+00	4.903193e+00	
18	0	0	-1.213261e+01	-6.967941e+00	
1.805000e+01	0	0	6.791511e+00	-1.168109e+01	
1.810000e+01	0	0	4.753428e+00	1.487676e+01	
1.815000e+01	0	0	-9.590214e+00	-2.386171e+00	
1.820000e+01	0	0	3.968326e+00	-1.180576e+01	
1.825000e+01	0	0	6.191101e+00	2.462499e+00	
1.830000e+01	0	0	2.986048e+00	9.374229e+00	
1.835000e+01	0	0	-1.291664e+01	-1.215971e+01	
1.840000e+01	0	0	-1.188719e+00	6.842768e+00	
1.845000e+01	0	0	-1.343369e+00	2.102801e+00	
1.850000e+01	0	0	9.676134e-02	-2.273190e+01	
1.855000e+01	0	0	-1.199678e+00	1.831509e+01	
1.860000e+01	0	0	-1.465648e+00	1.836058e+01	
1.865000e+01	0	0	-7.627909e+00	-1.192078e+00	
1.870000e+01	0	0	1.455716e+01	-1.059718e+01	
1.875000e+01	0	0	1.292891e+01	7.551435e+00	
1.880000e+01	0	0	7.678317e+00	6.238342e-01	
